created_date,week,sentiment.compound,text,id
2017-04-12 23:09:56,15,0.6597,Economic confidence is soaring as we unleash the power of private sector job creation and stand up for the American Workers. #AmericaFirst,852297762599313409
2017-04-12 23:10:37,15,0.6114,"One by one we are keeping our promises - on the border, on energy, on jobs, on regulations. Big changes are happening!",852297935219982336
2017-04-12 03:16:00,15,0.5411,I will be interviewed by @MariaBartiromo at 6:00 A.M. @FoxBusiness. Enjoy!,851997299454742528
2017-04-10 01:35:45,15,0.4199,Thank you @USNavy! #USA https://t.co/oD7L8vPgjq,851247294854856706
2017-04-11 11:48:31,15,0.3612,RT @foxnation: Grateful Syrians React To @realDonaldTrump Strike: 'I'll Name My Son Donald' https://t.co/7KexXsXLUx #SyrianStrikes,851763890786635776
2017-04-11 11:59:04,15,0.3164,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,851766546825347076
2017-04-11 12:03:43,15,0.2732,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.",851767718248361986
2017-04-14 21:46:20,15,0.0,RT @FLOTUS: Looking forward to hosting the annual Easter Egg Roll at the @WhiteHouse on Monday! https://t.co/nz7vucugx9,853001499747725317
2017-04-14 20:41:25,15,0.0,Weekly Address- https://t.co/tpZ7eqJLUH https://t.co/B2NQzj53ft,852985162870738944
2017-04-09 15:21:07,15,0.0,...confidence that President Al Sisi will handle situation properly.,851092618754891781
2017-04-12 12:22:22,15,-0.0018,Had a very good call last night with the President of China concerning the menace of North Korea.,852134796436398086
2017-04-14 03:18:24,15,-0.9022,RT @DRUDGE_REPORT: GREAT AGAIN: FEDS ARREST MURDER SUSPECT IN 'FAST AND FURIOUS' SCANDAL... https://t.co/clOLxTE3D4,852722680851779584
2017-04-09 15:20:39,15,-0.9245,So sad to hear of the terrorist attack in Egypt. U.S. strongly condemns. I have great...,851092500056072198
2017-04-08 19:58:32,14,0.9039,Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!,850800045012201473
2017-04-05 21:18:08,14,0.8908,I am deeply committed to preserving our strong relationship &amp; to strengthening America's long-standing support for… https://t.co/GxrOR3ALCE,849732911377117185
2017-04-08 14:54:24,14,0.887,"Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.",850723509370327040
2017-04-08 14:50:59,14,0.8779,It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous...,850722648883638272
